Subject,Number,Course_Title,Primary_Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_prof_gpa
CEE,526,Construction Optimization,"El-Rayes, Khaled A",14,26,10,3,7,1,0,1,1,0,0,0,0,0,3.71
CEE,527,Constr Conflict Resolution,"Lim, Eun H",2,10,7,2,1,1,0,0,0,0,0,0,0,0,3.74
CEE,528,Construction Data Modeling,"El-Gohary, Nora",16,52,43,18,15,2,0,0,0,0,0,0,0,0,3.7
CEE,537,Water Quality Control Proc I,"Komaki, Yukako",6,15,15,13,5,2,3,1,0,0,0,0,0,0,3.53
CEE,537,Water Quality Control Proc I,"Marinas, Benito J",17,37,20,27,27,20,1,1,0,0,0,0,0,1,3.43
CEE,538,Water Quality Control Proc II,"Guest, Jeremy S",1,17,11,9,5,1,0,1,0,0,0,0,0,0,3.6
CEE,538,Water Quality Control Proc II,"Liu, Wen-Tso",0,10,15,10,0,0,0,0,0,0,0,0,0,0,3.67
CEE,540,Remediation Design,"Werth, Charles J",1,16,5,1,0,0,0,0,0,0,0,0,0,1,3.74
CEE,559,Sediment Transport,"Garcia, Marcelo H",5,12,3,4,1,0,0,0,0,0,0,0,0,0,3.81
CEE,560,Steel Structures III,"LaFave, James M",1,6,9,10,2,1,0,0,0,0,0,0,0,0,3.55
CEE,560,Steel Structures III,"Lafave, James M",4,15,20,25,11,6,0,0,0,0,0,0,0,0,3.48
CEE,561,Reinforced Concrete III,"Kuchma, Daniel A",3,12,2,4,1,0,0,0,0,0,0,0,0,0,3.8
CEE,570,Finite Element Methods,"Lopez-Pamies, Oscar",4,6,13,17,32,6,4,1,0,0,1,0,3,0,3.09
CEE,570,Finite Element Methods,"Masud, Arif",1,77,68,43,58,31,3,0,0,0,0,0,0,0,3.45
CEE,570,Finite Element Methods,"Paulino, Glaucio H",4,16,23,35,33,20,1,1,0,0,0,0,0,1,3.27
CEE,572,Earthquake Engineering,"Elbanna, Ahmed",12,141,21,3,4,1,0,0,0,0,0,1,0,0,3.9
CEE,572,Earthquake Engineering,"Elnashai, Amr S",15,34,40,47,29,16,0,0,0,0,0,0,0,0,3.48
CEE,575,Fracture and Fatigue,"Akono, Ange-Therese",2,11,4,3,1,0,0,0,0,0,0,0,1,0,3.62
CEE,575,Fracture and Fatigue,"Dodds, Robert H",8,12,8,12,6,2,0,2,0,0,0,0,0,0,3.53
CEE,575,Fracture and Fatigue,"Lambros, John",0,15,2,1,3,2,0,0,0,0,0,0,0,0,3.7
CEE,576,Nonlinear Finite Elements,"Masud, Arif",0,11,8,4,0,0,0,0,0,0,0,0,0,0,3.77
CEE,580,Excavation and Support Systems,"Olson, Scott M",4,7,5,17,9,2,2,1,0,0,0,0,0,0,3.36
CEE,585,Deep Foundations,"Long, James H",0,23,0,0,0,0,0,0,0,0,0,0,1,0,3.83
CEE,586,Rock Mechanics and Behavior,"Olson, Scott M",5,11,6,10,8,3,3,0,0,0,0,0,0,0,3.44
CEE,590,Geotechnical Field Measurement,"Olson, Scott M",5,7,13,10,10,2,0,0,0,1,0,0,0,0,3.45
CEE,592,Sustainable Urban Systems,"Peschel, Joshua M",0,61,3,3,0,0,0,0,0,0,0,0,1,0,3.9
CEE,598,Const Optim and Decn Making,"El-Rayes, Khaled A",23,50,31,5,8,5,2,0,0,0,0,0,0,0,3.74
CEE,598,Generalized Finite Element Mth,"Duarte, Carlos A",8,10,0,1,1,1,1,0,0,0,0,0,1,0,3.62
CEE,598,Globalization of Water,"Konar, Megan",0,20,0,0,1,0,0,0,0,0,0,0,0,0,3.95
CEE,598,Highway Bridge Design,"Andrawes, Bassem O",0,23,5,3,1,1,1,0,0,0,1,0,0,0,3.7
CEE,598,Highway Bridges Design,"Andrawes, Bassem O",0,19,12,5,0,0,0,0,0,0,0,0,1,0,3.69
CEE,598,In Situ Tsting & Field Instrum,"Olson, Scott M",3,5,5,6,2,3,1,0,0,0,0,0,0,0,3.47
CEE,598,Integrated Urban Water Infrast,"Schmidt, Arthur R",15,25,1,0,5,0,0,0,0,0,0,0,0,0,3.88
CEE,598,Post-tensioned Concrete Struct,"Kang, Thomas",3,8,9,4,1,1,0,0,0,0,0,0,0,0,3.69
CEE,598,Railway Terminal Design & Oper,"Barkan, Christopher P",4,11,2,3,3,0,0,0,0,0,0,0,0,0,3.75
CEE,598,Reliability Analysis,"Gardoni, Paolo",4,31,8,2,0,0,0,0,0,0,0,0,1,1,3.74
CEE,598,Seismic Steel Design,"Fahnestock, Larry A",3,7,2,4,4,1,0,0,0,0,0,0,1,0,3.42
CEE,598,Special Topics,"Lange, David A",7,18,2,1,0,0,0,0,0,0,0,0,0,0,3.95
CEE,598,Special Topics,"Popovics, John S",0,6,9,4,2,4,0,0,0,0,0,0,0,0,3.48
CEE,598,Special Topics,"Young, Brent D",2,36,39,41,19,20,2,3,0,0,0,0,0,0,3.41
CEE,598,Structural Design Optimization,"Paulino, Glaucio H",7,21,33,23,6,3,1,0,0,0,0,0,0,1,3.56
CEE,598,Sustainable Urban Systems,"Minsker, Barbara S",0,15,31,4,3,0,0,0,0,0,0,0,0,0,3.7
CHBE,101,Hidden World of Engineering,"Hammack, William S",1,54,102,74,46,37,17,5,1,0,0,0,13,0,3.22
CHBE,221,Principles of CHE,"Hammack, William S",0,37,43,69,59,55,53,94,43,21,16,8,22,7,2.45
CHBE,221,Principles of CHE,"Henderson, Jerrod A",7,42,19,58,25,30,64,35,25,5,25,0,14,7,2.55
CHBE,221,Principles of CHE,"Higdon, Jonathan J",5,20,10,15,18,13,12,17,4,0,1,0,2,1,2.92
CHBE,221,Principles of CHE,"Pack, Daniel W",23,62,14,27,96,21,24,186,28,5,23,4,9,5,2.53
CHBE,221,Principles of CHE,"Rogers, Simon",10,17,16,0,19,21,0,27,12,0,4,0,2,0,2.79
CHBE,221,Principles of CHE,"Yang, Hong",3,23,15,16,26,26,38,21,25,6,13,0,11,4,2.44
CHBE,321,Thermodynamics,"Hammack, William S",0,7,12,6,7,6,10,11,10,2,3,1,1,0,2.6
CHBE,321,Thermodynamics,"Kenis, Paul J",3,19,13,14,15,10,18,19,16,0,3,0,4,0,2.71
CHBE,321,Thermodynamics,"Kong, Hyun Joon",38,98,56,65,96,72,40,37,16,0,8,0,4,4,3.09
CHBE,321,Thermodynamics,"Seebauer, Edmund G",2,45,21,11,60,17,21,62,12,3,10,2,8,1,2.67
CHBE,321,Thermodynamics,"Sing, Charles E",8,34,20,16,24,18,15,30,10,0,3,0,7,2,2.83
CHBE,421,Momentum and Heat Transfer,"Diao, Ying",5,34,17,15,19,14,35,34,13,0,2,0,4,2,2.76
CHBE,421,Momentum and Heat Transfer,"Harley, Brendan A",0,136,129,126,133,106,154,128,111,33,27,12,20,4,2.68
CHBE,421,Momentum and Heat Transfer,"Higdon, Jonathan J",3,60,11,13,44,15,20,59,7,0,5,0,9,3,2.77
CHBE,422,Mass Transfer Operations,"Flaherty, David W",8,128,27,20,184,28,16,140,29,7,16,3,19,4,2.75
CHBE,422,Mass Transfer Operations,"Guironnet, Damien S",2,35,33,36,43,31,34,22,18,0,10,0,11,0,2.78
CHBE,422,Mass Transfer Operations,"Rao, Christopher V",21,40,34,18,32,38,24,31,23,13,10,0,2,0,2.83
CHBE,424,Chemical Reaction Engineering,"Kraft, Mary L",1,198,17,20,175,11,14,112,14,6,15,7,9,5,2.96
CHBE,424,Chemical Reaction Engineering,"Pack, Daniel W",8,36,14,13,38,17,8,43,11,0,9,1,9,0,2.72
CHBE,424,Chemical Reaction Engineering,"Seebauer, Edmund G",2,35,15,14,15,16,29,39,12,0,0,1,5,1,2.74
CHBE,424,Chemical Reaction Engineering,"Zhao, Huimin",3,29,0,3,31,0,3,30,0,1,13,2,3,0,2.66
CHBE,430,Unit Operations Laboratory,"Henderson, Jerrod A",10,103,59,98,178,179,65,25,9,3,0,0,0,0,3.05
CHBE,430,Unit Operations Laboratory,"Miletic, Marina",1,4,5,4,5,5,5,0,0,0,0,1,0,0,3.08
CHBE,430,Unit Operations Laboratory,"Mitrovski, Svetlana",1,8,6,18,15,38,1,3,0,0,0,0,0,0,3.03
CHBE,430,Unit Operations Laboratory,"Vogel, Troy",3,22,15,42,48,22,16,11,1,0,0,0,0,0,3.1
CHBE,431,Process Design,"Bennett, Joshua E",0,24,21,34,61,19,6,12,5,1,1,0,2,0,3.06
CHBE,431,Process Design,"Miletic, Marina",5,18,15,19,11,15,25,3,0,0,0,0,1,0,3.1
